City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Zenzeli,RU,78.33,clear sky,45.9241,47.0474,"Gostinitsa ""Zvezdnaya"""
7,Xiongzhou,CN,78.49,overcast clouds,25.1167,114.3,Xinhewan Business Hotel
10,Sanary-Sur-Mer,FR,80.89,overcast clouds,43.1178,5.8001,Résidence Pierre et Vacances Les Rivages de Coudoulière
12,Hami,CN,85.69,clear sky,42.8,93.45,Laoyutang Resort
15,Bethel,US,82.71,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
18,Lamu,KE,75.72,clear sky,-2.2717,40.902,Lamu House
19,Albany,US,84.25,broken clouds,42.6001,-73.9662,
21,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
24,Jamestown,US,86.29,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
27,Turayf,SA,89.85,clear sky,31.6725,38.6637,Turaif
28,Marsh Harbour,BS,83.75,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
29,Kavieng,PG,81.0,light rain,-2.5744,150.7967,Nusa Island Retreat
31,Fernie,CA,85.17,clear sky,49.5,-115.0687,Fernie Stanford Resort
35,Paka,MY,80.53,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA
39,Butaritari,KI,82.08,moderate rain,3.0707,172.7902,Isles Sunset Lodge
40,Sulangan,PH,84.0,broken clouds,11.1373,123.7228,Maia's Beach Resort
43,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
48,Fare,PF,77.76,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
53,Hilo,US,81.81,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
57,Santa Maria,BR,76.33,few clouds,-29.6842,-53.8069,Hotel Morotin
58,Atuona,PF,77.97,broken clouds,-9.8,-139.0333,Villa Enata
65,Marovoay,MG,75.34,broken clouds,-16.1,46.6333,
67,Kapaa,US,82.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
69,Nisia Floresta,BR,80.98,clear sky,-6.0911,-35.2086,Rancho Crepusculo
74,Roma,US,84.94,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
82,Faanui,PF,78.01,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
86,Hithadhoo,MV,80.6,overcast clouds,-0.6,73.0833,Scoop Guest House
89,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
91,Thinadhoo,MV,81.84,broken clouds,0.5333,72.9333,
94,Miraflores,MX,77.76,broken clouds,19.2167,-98.8083,Hotel Mansión
95,Bilma,NE,86.67,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
97,Uruzgan,AF,80.47,clear sky,32.8333,66.0,
101,Kokopo,PG,77.23,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
107,Grand-Santi,GF,82.47,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
112,Dakar,SN,83.28,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
114,Kushima,JP,80.11,overcast clouds,31.4583,131.2333,Hanaoka
115,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
116,Dicabisagan,PH,80.56,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
117,Auki,SB,76.57,overcast clouds,-8.7676,160.7034,Auki Motel
119,Naze,JP,77.86,light rain,28.3667,129.4833,奄美ポートタワーホテル
136,Maradi,NE,86.74,overcast clouds,13.5,7.1017,NRC office
137,Sabaudia,IT,84.45,overcast clouds,41.3003,13.0282,Oasi di Kufra
138,Victoria,HK,86.38,few clouds,22.2855,114.1577,Mini Hotel Central
141,Harper,LR,75.76,scattered clouds,4.375,-7.7169,Screensaver
142,Abu Samrah,SY,84.94,clear sky,35.3029,37.1841,
149,Vaini,TO,75.47,broken clouds,-21.2,-175.2,Keleti Beach Resort
153,Guerrero Negro,MX,78.66,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
155,Dongying,CN,77.2,clear sky,37.4564,118.4856,Wanda Realm
159,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
163,Spruce Grove,CA,78.42,broken clouds,53.5334,-113.9187,Travelodge by Wyndham Stony Plain
165,Hambantota,LK,79.92,overcast clouds,6.1241,81.1185,Bungalow 63
167,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
168,Yumen,CN,76.3,clear sky,40.2833,97.2,
169,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
170,Dosso,NE,87.15,overcast clouds,13.049,3.1937,Hotel Toubal
178,Umm Kaddadah,SD,88.63,overcast clouds,13.6017,26.6876,
179,Conakry,GN,78.87,light rain,9.538,-13.6773,Riviera Royal Hotel
183,Oistins,BB,84.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
184,Pafos,CY,82.18,clear sky,34.7667,32.4167,Elysium Hotel
185,Kirakira,SB,78.89,overcast clouds,-10.4544,161.9205,SanBiz Lodge
187,Gushikawa,JP,80.19,overcast clouds,26.3544,127.8686,Kirari Guest House
188,Goderich,CA,84.04,clear sky,43.7501,-81.7165,Harmony Inn
192,Salalah,OM,78.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
207,Berbera,SO,89.46,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
208,Sungairaya,ID,79.0,broken clouds,0.7,108.9,Mess P.Milu
213,Marseille,FR,78.55,overcast clouds,43.3333,5.5,Hôtel The Originals Côté Sud (ex Inter-Hotel)
215,Manokwari,ID,78.22,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
216,Glens Falls,US,86.94,clear sky,43.3095,-73.644,Super 8 by Wyndham Queensbury Glens Falls/Lake George Area
220,Sola,VU,79.88,broken clouds,-13.8833,167.55,Leumerus Bungalows
222,Bandarbeyla,SO,76.3,clear sky,9.4942,50.8122,JABIR HOTEL
225,Port Blair,IN,82.17,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
227,Lorengau,PG,78.66,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
230,Hasaki,JP,75.6,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
236,Itoman,JP,80.98,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
239,Port-Gentil,GA,75.83,overcast clouds,-0.7193,8.7815,Fengshui Residence
244,Nicoya,CR,83.75,overcast clouds,10.1483,-85.452,Guayacan Real
