City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Upernavik,GL,72.7868,-56.1549,41.25,81,12,13.24,few clouds
1,Cape Town,ZA,-33.9258,18.4232,62.11,54,0,3.44,clear sky
2,Busselton,AU,-33.65,115.3333,58.08,65,8,20.58,clear sky
3,Abha,SA,18.2164,42.5053,66.02,94,100,2.3,overcast clouds
4,Kebumen,ID,-7.6687,109.6519,71.8,90,23,4.12,few clouds
5,Zenzeli,RU,45.9241,47.0474,78.33,37,0,4.72,clear sky
6,Mweka,CD,-4.85,21.5667,73.24,35,7,2.84,clear sky
7,Xiongzhou,CN,25.1167,114.3,78.49,85,85,0.89,overcast clouds
8,Aasiaat,GL,68.7098,-52.8699,40.06,76,100,12.08,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,70.65,67,38,6.42,scattered clouds
10,Sanary-Sur-Mer,FR,43.1178,5.8001,80.89,65,100,1.99,overcast clouds
11,Airai,TL,-8.9266,125.4092,55.85,52,76,3.22,broken clouds
12,Hami,CN,42.8,93.45,85.69,19,0,8.93,clear sky
13,Port Elizabeth,ZA,-33.918,25.5701,52.09,82,40,5.75,scattered clouds
14,Smithers,CA,54.7804,-127.1743,61.12,67,75,6.91,light intensity shower rain
15,Bethel,US,41.3712,-73.414,82.71,79,75,1.99,broken clouds
16,Punta Arenas,CL,-53.15,-70.9167,41.11,60,0,14.97,clear sky
17,Hobart,AU,-42.8794,147.3294,43.05,71,40,1.01,scattered clouds
18,Lamu,KE,-2.2717,40.902,75.72,77,5,21.52,clear sky
19,Albany,US,42.6001,-73.9662,84.25,73,60,1.99,broken clouds
20,Khatanga,RU,71.9667,102.5,48.83,87,43,6.46,scattered clouds
21,Bathsheba,BB,13.2167,-59.5167,84.81,79,20,11.5,few clouds
22,Geraldton,AU,-28.7667,114.6,46.81,93,0,12.66,clear sky
23,Ushuaia,AR,-54.8,-68.3,37.06,75,40,20.71,scattered clouds
24,Jamestown,US,42.097,-79.2353,86.29,56,20,1.99,few clouds
25,Yellowknife,CA,62.456,-114.3525,64.33,51,56,1.01,broken clouds
26,Chelyabinsk,RU,55.1544,61.4297,50.09,81,0,6.71,clear sky
27,Turayf,SA,31.6725,38.6637,89.85,33,0,9.22,clear sky
28,Marsh Harbour,BS,26.5412,-77.0636,83.75,71,98,10.87,overcast clouds
